comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,5,f1,0.06840598290598292,-0.03309401709401708,0.19686752136752136,0.2503,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,6,f1,-0.010705128205128206,-0.11213942307692286,0.09166666666666667,0.8468,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,2,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,3,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,4,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,5,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,6,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,2,em,-0.05,-0.15,0.0,0.6154,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,3,em,0.2,0.05,0.4,0.0456,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,4,em,-0.05,-0.2,0.1,0.7617,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,5,em,0.05,0.0,0.15,0.621,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,6,em,0.1,0.0,0.25,0.252,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,2,f1,-0.022727272727272728,-0.06818181818181819,0.0,0.6154,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,3,f1,0.1575,0.0375,0.3125,0.0271,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,4,f1,-0.075,-0.25,0.1,0.4835,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,5,f1,0.05,0.0,0.15,0.621,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,6,f1,0.06999999999999999,0.0,0.19,0.2397,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,2,judge_correct,-0.05,-0.15,0.0,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,3,judge_correct,0.0,-0.15,0.15,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,4,judge_correct,-0.05,-0.25,0.15,0.8165,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,5,judge_correct,0.1,0.0,0.25,0.2496,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,6,judge_correct,0.05,-0.1,0.2,0.761,20
