policy,budget_words,endpoint,metric,mean,lo,hi,n_contexts,n_excluded_low_ceiling,min_ceiling_for_ratio
lm_generic,160,now,judge_correct,0.38541666666666663,0.296875,0.47916666666666663,16,0,0.25
lm_generic,160,future,em,0.34712013507055356,0.3044599554370388,0.39172911413613776,16,0,0.25
lm_generic,160,future,f1,0.36084780819965145,0.3145155539171357,0.4074164605931476,16,0,0.25
lm_generic,160,future,judge_correct,0.35302672955974845,0.3103183962264151,0.3947916666666667,16,0,0.25
nonllm_conditioned,20,now,em,0.03125,0.0,0.09375,16,0,0.25
nonllm_conditioned,20,now,f1,0.038392857142857145,0.0,0.10803571428571429,16,0,0.25
nonllm_conditioned,20,now,judge_correct,0.046875,0.0,0.125,16,0,0.25
nonllm_conditioned,20,future,em,0.013771900269541778,0.0,0.029902291105121295,16,0,0.25
nonllm_conditioned,20,future,f1,0.031127731545378474,0.011644747727227353,0.05448887255143551,16,0,0.25
nonllm_conditioned,20,future,judge_correct,0.025550314465408806,0.008333333333333333,0.04638364779874214,16,0,0.25
nonllm_conditioned,40,now,em,0.75,0.625,0.8697916666666666,16,0,0.25
nonllm_conditioned,40,now,f1,0.7842622655122655,0.6894178391053392,0.8771329365079366,16,0,0.25
nonllm_conditioned,40,now,judge_correct,0.796875,0.703125,0.890625,16,0,0.25
nonllm_conditioned,40,future,em,0.05617487584943075,0.04615386754875734,0.06552378660243029,16,0,0.25
nonllm_conditioned,40,future,f1,0.08232348188405025,0.07355879300929745,0.09111978274580662,16,0,0.25
nonllm_conditioned,40,future,judge_correct,0.06825864779874215,0.0625,0.07346698113207548,16,0,0.25
nonllm_conditioned,80,now,em,0.8802083333333333,0.7760416666666666,0.9635416666666666,16,0,0.25
nonllm_conditioned,80,now,f1,0.8935019841269842,0.8064484126984128,0.9649305555555556,16,0,0.25
nonllm_conditioned,80,now,judge_correct,0.90625,0.828125,0.96875,16,0,0.25
nonllm_conditioned,80,future,em,0.13716414401041654,0.1173780193497363,0.15592091096641278,16,0,0.25
nonllm_conditioned,80,future,f1,0.16123384856284534,0.14404208050276815,0.17894153036399324,16,0,0.25
nonllm_conditioned,80,future,judge_correct,0.14679638364779873,0.13421776729559748,0.15937500000000002,16,0,0.25
nonllm_conditioned,160,now,em,0.9583333333333333,0.8958333333333333,1.0,16,0,0.25
nonllm_conditioned,160,now,f1,0.9553571428571428,0.9017857142857143,1.0,16,0,0.25
nonllm_conditioned,160,now,judge_correct,0.96875,0.921875,1.0,16,0,0.25
nonllm_conditioned,160,future,em,0.3215769211174144,0.28750099686618275,0.35707966595325397,16,0,0.25
nonllm_conditioned,160,future,f1,0.3347800386302292,0.3083066511241386,0.3640784216680768,16,0,0.25
nonllm_conditioned,160,future,judge_correct,0.3287932389937107,0.303125,0.35483490566037734,16,0,0.25
nonllm_generic,20,now,em,0.0,0.0,0.0,16,0,0.25
nonllm_generic,20,now,f1,0.0071428571428571435,0.0,0.02142857142857143,16,0,0.25
nonllm_generic,20,now,judge_correct,0.015625,0.0,0.046875,16,0,0.25
nonllm_generic,20,future,em,0.0047169811320754715,0.0,0.014150943396226415,16,0,0.25
nonllm_generic,20,future,f1,0.021110477623222292,0.008289984741405486,0.03852927352081155,16,0,0.25
nonllm_generic,20,future,judge_correct,0.016175314465408805,0.0,0.03492531446540881,16,0,0.25
nonllm_generic,40,now,em,0.05208333333333333,0.0,0.109375,16,0,0.25
nonllm_generic,40,now,f1,0.06120999536178108,0.015625,0.11363636363636363,16,0,0.25
nonllm_generic,40,now,judge_correct,0.046875,0.0,0.09375,16,0,0.25
nonllm_generic,40,future,em,0.04843556133145082,0.023079514824797843,0.07387958327985282,16,0,0.25
nonllm_generic,40,future,f1,0.07377648958761936,0.050901049321379996,0.09615389503003238,16,0,0.25
nonllm_generic,40,future,judge_correct,0.0599253144654088,0.040624999999999994,0.0786753144654088,16,0,0.25
nonllm_generic,80,now,em,0.16145833333333331,0.078125,0.24479166666666666,16,0,0.25
nonllm_generic,80,now,f1,0.15305059523809522,0.09002959280303029,0.21570616883116883,16,0,0.25
nonllm_generic,80,now,judge_correct,0.14583333333333331,0.078125,0.20833333333333331,16,0,0.25
nonllm_generic,80,future,em,0.1458924858646894,0.11913411541896633,0.16840801141150705,16,0,0.25
nonllm_generic,80,future,f1,0.15319175466355422,0.1254934685774972,0.17797108544389942,16,0,0.25
nonllm_generic,80,future,judge_correct,0.13797169811320756,0.11666666666666668,0.1577633647798742,16,0,0.25
nonllm_generic,160,now,em,0.39062499999999994,0.27604166666666663,0.515625,16,0,0.25
nonllm_generic,160,now,f1,0.3630275974025974,0.26032873376623394,0.47017045454545453,16,0,0.25
nonllm_generic,160,now,judge_correct,0.359375,0.25,0.484375,16,0,0.25
nonllm_generic,160,future,em,0.3278304149429486,0.2642797999324912,0.3818830678437316,16,0,0.25
nonllm_generic,160,future,f1,0.33299888857539767,0.2830781766392427,0.37645187854738504,16,0,0.25
