comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
oracle_minus_conditioned,oracle,conditioned,40,utility,gap,judge_correct,-0.8,-0.8614583333333333,-0.7291666666666667,0.0,16,-5.809475019311126
oracle_minus_conditioned,oracle,conditioned,40,regret,now,em,0.203125,0.04648437500000169,0.375,0.02,16,0.5900968443520823
oracle_minus_conditioned,oracle,conditioned,40,regret,now,f1,0.1472470238095238,-0.006770833333333332,0.31406249999999997,0.072,16,0.43390924624331745
oracle_minus_conditioned,oracle,conditioned,40,regret,now,judge_correct,0.203125,0.0625,0.359375,0.009,16,0.636561856729144
oracle_minus_conditioned,oracle,conditioned,40,regret,future,em,-0.43958333333333344,-0.5552083333333334,-0.3135416666666667,0.0,16,-1.7396833791626025
oracle_minus_conditioned,oracle,conditioned,40,regret,future,f1,-0.49594990079365076,-0.608517113095238,-0.3763133267195769,0.0,16,-2.036244582475628
oracle_minus_conditioned,oracle,conditioned,40,regret,future,judge_correct,-0.596875,-0.714609375,-0.46562500000000007,0.0,16,-2.2522731146911483
oracle_minus_conditioned,oracle,conditioned,40,retained,now,em,-0.22395833333333334,-0.4010416666666667,-0.04153645833333521,0.016,16,-0.5898052720010161
oracle_minus_conditioned,oracle,conditioned,40,retained,now,f1,-0.17688492063492062,-0.3371279761904762,-0.0218377976190478,0.0258,16,-0.5340103620758049
oracle_minus_conditioned,oracle,conditioned,40,retained,now,judge_correct,-0.203125,-0.359375,-0.0625,0.009,16,-0.636561856729144
oracle_minus_conditioned,oracle,conditioned,40,retained,future,em,0.5019349574037074,0.3594359655101843,0.6350790919150293,0.0,16,1.7511926680492111
oracle_minus_conditioned,oracle,conditioned,40,retained,future,f1,0.5264820265713124,0.39955683129288044,0.6430220114087299,0.0,16,2.058765255887161
oracle_minus_conditioned,oracle,conditioned,40,retained,future,judge_correct,0.5973214285714286,0.46739955357142865,0.7150446428571426,0.0,16,2.2615382098638013
oracle_minus_conditioned,oracle,conditioned,40,specialisation_did,now_minus_future,em,-0.6427083333333334,-0.75,-0.5385416666666667,0.0,16,-2.9013023875085526
